"scientific","alphaid","kingdom","phylum","class","order","family","genus"
"Squatinidae spp.",105717,"Animalia","Chordata","Elasmobranchii","Squatiniformes","Squatinidae",""
"Pristidae spp.",105707,"Animalia","Chordata","Elasmobranchii","Pristiformes","Pristidae",""
"Myliobatidae spp.",105710,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Myliobatidae",""
"Callorhinchidae spp.",148800,"Animalia","Chordata","Holocephali","Chimaeriformes","Callorhinchidae",""
"Ophichthidae spp.",125434,"Animalia","Chordata","Actinopterygii","Anguilliformes","Ophichthidae",""
"Salangidae spp.",154213,"Animalia","Chordata","Actinopterygii","Osmeriformes","Salangidae",""
"Bathylagidae spp.",125509,"Animalia","Chordata","Actinopterygii","Argentiniformes","Bathylagidae",""
"Ariidae spp.",154659,"Animalia","Chordata","Actinopterygii","Siluriformes","Ariidae",""
"Chlorophthalmidae spp.",125442,"Animalia","Chordata","Actinopterygii","Aulopiformes","Chlorophthalmidae",""
"Gadidae spp.",125469,"Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae",""
"Aulostomidae spp.",154576,"Animalia","Chordata","Actinopterygii","Syngnathiformes","Aulostomidae",""
"Fistulariidae spp.",154577,"Animalia","Chordata","Actinopterygii","Syngnathiformes","Fistulariidae",""
"Carangidae spp.",125523,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae",""
"Hexagrammidae spp.",154415,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hexagrammidae",""
"Platycephalidae spp.",125593,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Platycephalidae",""
"Nemipteridae spp.",151459,"Animalia","Chordata","Actinopterygii","Perciformes","Nemipteridae",""
"Malacanthidae spp.",151447,"Animalia","Chordata","Actinopterygii","Perciformes","Malacanthidae",""
"Rachycentridae spp.",125556,"Animalia","Chordata","Actinopterygii","Perciformes","Rachycentridae",""
"Polynemidae spp.",125551,"Animalia","Chordata","Actinopterygii","Perciformes","Polynemidae",""
"Menidae spp.",151451,"Animalia","Chordata","Actinopterygii","Perciformes","Menidae",""
"Chaetodontidae spp.",125528,"Animalia","Chordata","Actinopterygii","Perciformes","Chaetodontidae",""
"Pomacentridae spp.",125553,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae",""
"Channichthyidae spp.",234518,"Animalia","Chordata","Actinopterygii","Perciformes","Channichthyidae",""
"Blenniidae spp.",125519,"Animalia","Chordata","Actinopterygii","Perciformes","Blenniidae",""
"Bothidae spp.",125576,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Bothidae",""
"Pleuronectidae spp.",125579,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae",""
"Nototheniidae spp.",151404,"Animalia","Chordata","Actinopterygii","Perciformes","Nototheniidae",""
"Balistidae spp.",125607,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Balistidae",""
"Ostraciidae spp.",125611,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Ostraciidae",""
"Ammodytidae spp.",125516,"Animalia","Chordata","Actinopterygii","Perciformes","Ammodytidae",""
"Caesionidae spp.",151454,"Animalia","Chordata","Actinopterygii","Perciformes","Caesionidae",""
"Pomacanthidae spp.",151470,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacanthidae",""
"Inermiidae spp.",151457,"Animalia","Chordata","Actinopterygii","Perciformes","Inermiidae",""
"Urolophidae spp.",148830,"Animalia","Chordata","Elasmobranchii","Myliobatiformes","Urolophidae",""
"Ambassidae spp.",151432,"Animalia","Chordata","Actinopterygii","Perciformes","Ambassidae",""
"Gobiidae spp.",125537,"Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae",""
"Cynoglossidae spp.",125578,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Cynoglossidae",""
"Centriscidae spp.",125605,"Animalia","Chordata","Actinopterygii","Syngnathiformes","Centriscidae",""
"Hemitripteridae spp.",154610,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Hemitripteridae",""
"Artedidraconidae spp.",151398,"Animalia","Chordata","Actinopterygii","Perciformes","Artedidraconidae",""
"Lateolabracidae spp.",267024,"Animalia","Chordata","Actinopterygii","Perciformes","Lateolabracidae",""
"Ommastrephidae spp.",11760,"Animalia","Mollusca","Cephalopoda","Oegopsida","Ommastrephidae",""
"Buccinidae spp.",149,"Animalia","Mollusca","Gastropoda","Neogastropoda","Buccinidae",""
"Xanthidae spp.",106769,"Animalia","Arthropoda","Malacostraca","Decapoda","Xanthidae",""
"Aristeidae spp.",106725,"Animalia","Arthropoda","Malacostraca","Decapoda","Aristeidae",""
"Squillidae spp.",136093,"Animalia","Arthropoda","Malacostraca","Stomatopoda","Squillidae",""
"Cardiidae spp.",229,"Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae",""
"Solenidae spp.",233,"Animalia","Mollusca","Bivalvia","Adapedonta","Solenidae",""
"Austroglossus spp.",205867,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Soleidae","Austroglossus"
"Mytilidae spp.",211,"Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae",""
"Sphyraena spp.",126084,"Animalia","Chordata","Actinopterygii","Perciformes","Sphyraenidae","Sphyraena"
"Gymnothorax spp.",125636,"Animalia","Chordata","Actinopterygii","Anguilliformes","Muraenidae","Gymnothorax"
"Lampris spp.",125783,"Animalia","Chordata","Actinopterygii","Lampriformes","Lampridae","Lampris"
"Cephalopholis spp.",206732,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Cephalopholis"
"Tellinidae spp.",235,"Animalia","Mollusca","Bivalvia","Cardiida","Tellinidae",""
"Holothuriidae spp.",731943,"Animalia","Echinodermata","Holothuroidea","Holothuriida","Holothuriidae",""
"Cassidae spp.",22999,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Cassidae",""
"Conidae spp.",14107,"Animalia","Mollusca","Gastropoda","Neogastropoda","Conidae",""
"Diogenidae spp.",106736,"Animalia","Arthropoda","Malacostraca","Decapoda","Diogenidae",""
"Neritidae spp.",13588,"Animalia","Mollusca","Gastropoda","Cycloneritida","Neritidae",""
"Chitonidae spp.",64,"Animalia","Mollusca","Polyplacophora","Chitonida","Chitonidae",""
"Pseudohemiodon spp.",NA,"Animalia","Chordata","Actinopterygii","Siluriformes","Loricariidae","Pseudohemiodon"
"Ostreidae spp.",215,"Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae",""
"Uranoscopus spp.",126100,"Animalia","Chordata","Actinopterygii","Perciformes","Uranoscopidae","Uranoscopus"
"Paralichthys spp.",158823,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Paralichthyidae","Paralichthys"
"Diodon spp.",126231,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Diodontidae","Diodon"
"Squalus spp.",105782,"Animalia","Chordata","Elasmobranchii","Squaliformes","Squalidae","Squalus"
"Raja spp.",105766,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rajidae","Raja"
"Lophius spp.",125802,"Animalia","Chordata","Actinopterygii","Lophiiformes","Lophiidae","Lophius"
"Mola spp.",126233,"Animalia","Chordata","Actinopterygii","Tetraodontiformes","Molidae","Mola"
"Odontognathus spp.",270073,"Animalia","Chordata","Actinopterygii","Clupeiformes","Pristigasteridae","Odontognathus"
"Caesio spp.",205824,"Animalia","Chordata","Actinopterygii","Perciformes","Caesionidae","Caesio"
"Kyphosus spp.",126015,"Animalia","Chordata","Actinopterygii","Perciformes","Kyphosidae","Kyphosus"
"Achirus spp.",268211,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Achiridae","Achirus"
"Etmopterus spp.",105775,"Animalia","Chordata","Elasmobranchii","Squaliformes","Etmopteridae","Etmopterus"
"Plotosus spp.",206186,"Animalia","Chordata","Actinopterygii","Siluriformes","Plotosidae","Plotosus"
"Scorpaena spp.",126171,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","Scorpaena"
"Scomber spp.",126063,"Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Scomber"
"Mullus spp.",126034,"Animalia","Chordata","Actinopterygii","Perciformes","Mullidae","Mullus"
"Trigla spp.",126180,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Triglidae","Trigla"
"Mugil spp.",126032,"Animalia","Chordata","Actinopterygii","Perciformes","Mugilidae","Mugil"
"Alosa spp.",125715,"Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","Alosa"
"Leiognathus spp.",126026,"Animalia","Chordata","Actinopterygii","Perciformes","Leiognathidae","Leiognathus"
"Pomadasys spp.",126011,"Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Pomadasys"
"Coryphaenoides spp.",125748,"Animalia","Chordata","Actinopterygii","Gadiformes","Macrouridae","Coryphaenoides"
"Hippocampus spp.",126224,"Animalia","Chordata","Actinopterygii","Syngnathiformes","Syngnathidae","Hippocampus"
"Spicara spp.",125949,"Animalia","Chordata","Actinopterygii","Perciformes","Centracanthidae","Spicara"
"Ogcocephalus spp.",159191,"Animalia","Chordata","Actinopterygii","Lophiiformes","Ogcocephalidae","Ogcocephalus"
"Scolopsis spp.",203906,"Animalia","Chordata","Actinopterygii","Perciformes","Nemipteridae","Scolopsis"
"Trachipterus spp.",125788,"Animalia","Chordata","Actinopterygii","Lampriformes","Trachipteridae","Trachipterus"
"Platax spp.",203909,"Animalia","Chordata","Actinopterygii","Perciformes","Ephippidae","Platax"
"Siganus spp.",126071,"Animalia","Chordata","Actinopterygii","Perciformes","Siganidae","Siganus"
"Scarus spp.",159299,"Animalia","Chordata","Actinopterygii","Perciformes","Scaridae","Scarus"
"Mustelus spp.",105732,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Triakidae","Mustelus"
"Rhinobatos spp.",105769,"Animalia","Chordata","Elasmobranchii","Rajiformes","Rhinobatidae","Rhinobatos"
"Lutjanus spp.",159791,"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Lutjanus"
"Pristiophorus spp.",270508,"Animalia","Chordata","Elasmobranchii","Pristiophoriformes","Pristiophoridae","Pristiophorus"
"Chrysoblephus spp.",206144,"Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Chrysoblephus"
"Nemipterus spp.",205457,"Animalia","Chordata","Actinopterygii","Perciformes","Nemipteridae","Nemipterus"
"Dussumieria spp.",125718,"Animalia","Chordata","Actinopterygii","Clupeiformes","Dussumieriidae","Dussumieria"
"Orthopristis chrysoptera",158810,"Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Orthopristis"
"Sparidae spp.",125564,"Animalia","Chordata","Actinopterygii","Perciformes","Sparidae",""
"Caranx spp.",125936,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Caranx"
"Scomberoides spp.",204103,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Scomberoides"
"Plectorhinchus spp.",126010,"Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Plectorhinchus"
"Naso spp.",205230,"Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","Naso"
"Scomberomorus spp.",126064,"Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Scomberomorus"
"Istiophorus spp.",126012,"Animalia","Chordata","Actinopterygii","Perciformes","Istiophoridae","Istiophorus"
"Prionotus spp.",159569,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Triglidae","Prionotus"
"Cheilinus spp.",204502,"Animalia","Chordata","Actinopterygii","Perciformes","Labridae","Cheilinus"
"Makaira spp.",126013,"Animalia","Chordata","Actinopterygii","Perciformes","Istiophoridae","Makaira"
"Trachinotus spp.",125945,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Trachinotus"
"Solea spp.",126132,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Soleidae","Solea"
"Mycteroperca spp.",126069,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Mycteroperca"
"Hydrolagus spp.",105734,"Animalia","Chordata","Holocephali","Chimaeriformes","Chimaeridae","Hydrolagus"
"Rhombosolea spp.",270749,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Pleuronectidae","Rhombosolea"
"Notoscopelus spp.",125831,"Animalia","Chordata","Actinopterygii","Myctophiformes","Myctophidae","Notoscopelus"
"Gymnocranius spp.",206416,"Animalia","Chordata","Actinopterygii","Perciformes","Lethrinidae","Gymnocranius"
"Bathylagus spp.",125888,"Animalia","Chordata","Actinopterygii","Argentiniformes","Bathylagidae","Bathylagus"
"Notolepis spp.",147036,"Animalia","Chordata","Actinopterygii","Aulopiformes","Paralepididae","Notolepis"
"Geryon spp.",106918,"Animalia","Arthropoda","Malacostraca","Decapoda","Geryonidae","Geryon"
"Hysteronotus spp.",NA,"Animalia","Chordata","Actinopterygii","Characiformes","Characidae","Hysteronotus"
"Anchoviella spp.",158700,"Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Anchoviella"
"Thryssa spp.",158703,"Animalia","Chordata","Actinopterygii","Clupeiformes","Engraulidae","Thryssa"
"Abudefduf spp.",126044,"Animalia","Chordata","Actinopterygii","Perciformes","Pomacentridae","Abudefduf"
"Isurus spp.",105743,"Animalia","Chordata","Elasmobranchii","Lamniformes","Lamnidae","Isurus"
"Anguilla spp.",125620,"Animalia","Chordata","Actinopterygii","Anguilliformes","Anguillidae","Anguilla"
"Murex spp.",138196,"Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Murex"
"Pacifastacus spp.",NA,"Animalia","Arthropoda","Malacostraca","Decapoda","Astacidae","Pacifastacus"
"Alectis indica",302283,"Animalia","Chordata","Actinopterygii","Perciformes","Carangidae","Alectis"
"Lutjanus quinquelineatus",218497,"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Lutjanus"
"Lutjanus vivanus",159801,"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Lutjanus"
"Macolor macularis",218500,"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Macolor"
"Ocyurus chrysurus",159803,"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Ocyurus"
"Strongylocentrotus spp.",123390,"Animalia","Echinodermata","Echinoidea","Camarodonta","Strongylocentrotidae","Strongylocentrotus"
"Paracaesio kusakarii",278686,"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Paracaesio"
"Paracaesio sordida",218503,"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Paracaesio"
"Paracaesio stonei",278688,"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Paracaesio"
"Alopias spp.",105740,"Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias"
"Galeus spp.",105728,"Animalia","Chordata","Elasmobranchii","Carcharhiniformes","Pentanchidae","Galeus"
"Scylla spp.",205756,"Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Scylla"
"Sclerocrangon spp.",107013,"Animalia","Arthropoda","Malacostraca","Decapoda","Crangonidae","Sclerocrangon"
"Lepas spp.",106087,"Animalia","Arthropoda","Hexanauplia","Lepadiformes","Lepadidae","Lepas"
"Busycon spp.",160183,"Animalia","Mollusca","Gastropoda","Neogastropoda","Buccinidae","Busycon"
"Modiolus spp.",138223,"Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","Modiolus"
"Arca spp.",137670,"Animalia","Mollusca","Bivalvia","Arcida","Arcidae","Arca"
"Donax spp.",137906,"Animalia","Mollusca","Bivalvia","Cardiida","Donacidae","Donax"
"Dosinia spp.",138636,"Animalia","Mollusca","Bivalvia","Venerida","Veneridae","Dosinia"
"Paracaesio xanthura",218502,"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Paracaesio"
"Pristipomoides argyrogrammicus",218510,"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Pristipomoides"
"Pristipomoides auricilla",218512,"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Pristipomoides"
"Pristipomoides flavipinnis",276553,"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Pristipomoides"
"Petrus rupestris",218611,"Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Petrus"
"Stenotomus chrysops",159811,"Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","Stenotomus"
"Molva spp.",125744,"Animalia","Chordata","Actinopterygii","Gadiformes","Lotidae","Molva"
"Etelis spp.",159788,"Animalia","Chordata","Actinopterygii","Perciformes","Lutjanidae","Etelis"
"Mulinia spp.",156869,"Animalia","Mollusca","Bivalvia","Venerida","Mactridae","Mulinia"
"Paphia spp.",516180,"Animalia","Mollusca","Bivalvia","Venerida","Mesodesmatidae","Paphia"
"Solen spp.",326029,"Animalia","Annelida","Polychaeta","","","Solen"
"Hyas spp.",106903,"Animalia","Arthropoda","Malacostraca","Decapoda","Oregoniidae","Hyas"
"Patella spp.",138312,"Animalia","Mollusca","Gastropoda","","Patellidae","Patella"
"Callianassa spp.",107072,"Animalia","Arthropoda","Malacostraca","Decapoda","Callianassidae","Callianassa"
"Cymbium spp.",138660,"Animalia","Mollusca","Gastropoda","Neogastropoda","Volutidae","Cymbium"
"Tellina spp.",138533,"Animalia","Mollusca","Bivalvia","Cardiida","Tellinidae","Tellina"
"Charybdis spp.",106923,"Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","Charybdis"
"Stomolophus spp.",267871,"Animalia","Cnidaria","Scyphozoa","Rhizostomeae","Stomolophidae","Stomolophus"
"Acanthocybium spp.",126056,"Animalia","Chordata","Actinopterygii","Perciformes","Scombridae","Acanthocybium"
"Epinephelus guttatus",159352,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Epinephelus"
"Epinephelus morio",159354,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Epinephelus"
"Epinephelus striatus",159222,"Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","Epinephelus"
"Gadiculus argenteus thori",156094,"Animalia","Chordata","Actinopterygii","Gadiformes","Gadidae","Gadiculus"
"Limulus polyphemus",150514,"Animalia","Arthropoda","Merostomata","Xiphosurida","Limulidae","Limulus"
"Aphia minuta",126868,"Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","Aphia"
"Arnoglossus laterna",127126,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Bothidae","Arnoglossus"
"Caesio lunaris",219991,"Animalia","Chordata","Actinopterygii","Perciformes","Caesionidae","Caesio"
"Caesio teres",219996,"Animalia","Chordata","Actinopterygii","Perciformes","Caesionidae","Caesio"
"Lepidorhombus spp.",126122,"Animalia","Chordata","Actinopterygii","Pleuronectiformes","Scophthalmidae","Lepidorhombus"
"Haemulon spp.",158806,"Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Haemulon"
"Valamugil spp.",206358,"Animalia","Chordata","Actinopterygii","Perciformes","Mugilidae","Valamugil"
"Chelidonichthys cuculus",127259,"Animalia","Chordata","Actinopterygii","Scorpaeniformes","Triglidae","Chelidonichthys"
"Eucinostomus spp.",159731,"Animalia","Chordata","Actinopterygii","Perciformes","Gerreidae","Eucinostomus"
"Pterocaesio pisang",213658,"Animalia","Chordata","Actinopterygii","Perciformes","Caesionidae","Pterocaesio"
