Mapping parameters for Sardinella sindensis (Sind sardinella)

"Cite AquaMaps itself as: Kaschner, K., J. Rius-Barile, K. Kesner-Reyes, C. Garilao, S.O. Kullander, T. Rees and R. Froese. 2013. AquaMaps: Predicted range maps for aquatic species World Wide Web electronic publication, www.aquamaps.org, Version 08/2013. "

Map type: Computer-generated,
Map Option: In FAO and Bounding Box
FAOAreas: 51 |  61,
Bounding Box (NSWE): ,30,10,42,74

Pelagic: False,
Layer used to generate probabilities: Surface,

Species Envelope (HSPEN):
 ,Used,Min,Pref Min (10th),Pref Max (90th),Max
Depth (m),1,0,5,26,50
Temperature (°C),1,24.49,25.01,28.47,32.67
Salinity (psu),1,30.99,35.41,39.5,40
Primary Production,1,612,778,2642,3467.5
Sea Ice Concentration,1,-1,0,0,0
Distance to Land (km),0,8.5,17,90,121
 

Map data (HSPEC) for predicted occurrences (n = 389): 
Genus,Species,Center Lat,Center Long,C-Square Code,Overall Probability,Depth,SST,Salinity,Primary Production,Sea Ice Concentration.,Distance to Land
Sardinella,sindensis,20.25,58.75,1205:208:2,1.00,,,,,,
Sardinella,sindensis,20.75,58.25,1205:208:3,1.00,,,,,,
Sardinella,sindensis,20.75,58.75,1205:208:4,1.00,,,,,,
Sardinella,sindensis,20.25,59.25,1205:209:1,1.00,,,,,,
Sardinella,sindensis,20.75,59.25,1205:209:3,1.00,,,,,,
Sardinella,sindensis,21.25,58.75,1205:218:2,1.00,,,,,,
Sardinella,sindensis,21.25,59.25,1205:219:1,1.00,,,,,,
Sardinella,sindensis,21.75,59.25,1205:219:3,1.00,,,,,,
Sardinella,sindensis,21.75,59.75,1205:219:4,1.00,,,,,,
Sardinella,sindensis,22.25,59.75,1205:229:2,1.00,,,,,,
Sardinella,sindensis,22.75,59.25,1205:229:3,1.00,,,,,,
Sardinella,sindensis,22.75,59.75,1205:229:4,1.00,,,,,,
Sardinella,sindensis,23.75,57.25,1205:237:3,1.00,,,,,,
Sardinella,sindensis,23.75,57.75,1205:237:4,1.00,,,,,,
Sardinella,sindensis,23.25,58.75,1205:238:2,1.00,,,,,,
Sardinella,sindensis,23.75,58.25,1205:238:3,1.00,,,,,,
Sardinella,sindensis,23.75,58.75,1205:238:4,1.00,,,,,,
Sardinella,sindensis,23.25,59.25,1205:239:1,1.00,,,,,,
Sardinella,sindensis,24.25,56.75,1205:246:2,1.00,,,,,,
Sardinella,sindensis,24.75,56.25,1205:246:3,1.00,,,,,,
Sardinella,sindensis,24.75,56.75,1205:246:4,1.00,,,,,,
Sardinella,sindensis,24.25,57.25,1205:247:1,1.00,,,,,,
Sardinella,sindensis,24.25,57.75,1205:247:2,1.00,,,,,,
Sardinella,sindensis,25.25,50.25,1205:350:1,1.00,,,,,,
Sardinella,sindensis,25.75,50.25,1205:350:3,1.00,,,,,,
Sardinella,sindensis,25.75,50.75,1205:350:4,1.00,,,,,,
Sardinella,sindensis,25.75,51.25,1205:351:3,0.80,,,,,,
Sardinella,sindensis,25.75,51.75,1205:351:4,1.00,,,,,,
Sardinella,sindensis,25.25,53.25,1205:353:1,1.00,,,,,,
Sardinella,sindensis,25.25,53.75,1205:353:2,1.00,,,,,,
Sardinella,sindensis,25.75,53.25,1205:353:3,1.00,,,,,,
Sardinella,sindensis,25.75,53.75,1205:353:4,1.00,,,,,,
Sardinella,sindensis,25.25,54.25,1205:354:1,1.00,,,,,,
Sardinella,sindensis,25.25,54.75,1205:354:2,1.00,,,,,,
Sardinella,sindensis,25.75,54.75,1205:354:4,1.00,,,,,,
Sardinella,sindensis,26.25,50.25,1205:360:1,1.00,,,,,,
Sardinella,sindensis,26.25,50.75,1205:360:2,1.00,,,,,,
